id,log_price,image_path,image_exists,green_cover_ratio,road_density_ratio,built_up_density_ratio,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
587550340.0,13.31133113254472,../data/images/587550340.0.png,True,0.114501953125,0.5313720703125,0.59210205078125,604000,3,2.5,3240,33151,2.0,0,2,3,10,3240,0,1995,0,98023,47.3256,-122.378,4050,24967
7853220390.0,13.573440270649083,../data/images/7853220390.0.png,True,0.2924041748046875,0.3219757080078125,0.335906982421875,785000,5,3.25,3660,11995,2.0,0,2,3,10,3660,0,2006,0,98065,47.5337,-121.86,3320,11241
3390600010.0,12.807655372286902,../data/images/3390600010.0.png,True,0.1566009521484375,0.3456268310546875,0.438018798828125,365000,3,1.0,1090,6435,1.0,0,0,4,7,1090,0,1955,0,98106,47.5334,-122.365,1340,6435
123059127.0,13.34550852871726,../data/images/123059127.0.png,True,0.2133331298828125,0.1736907958984375,0.31060791015625,625000,4,3.25,2730,54014,1.0,0,0,3,9,1560,1170,2007,0,98059,47.5133,-122.11,2730,111274
5467900070.0,12.742568940017076,../data/images/5467900070.0.png,True,0.2159423828125,0.5669097900390625,0.602691650390625,342000,3,2.0,1930,11947,1.0,0,0,4,8,1930,0,1966,0,98042,47.3672,-122.151,2200,12825
7708180040.0,13.34550852871726,../data/images/7708180040.0.png,True,0.1862030029296875,0.4272308349609375,0.4680938720703125,625000,4,2.75,2920,6605,2.0,0,0,3,8,2920,0,2012,0,98059,47.4909,-122.144,3030,6605
8132700150.0,13.223115088821102,../data/images/8132700150.0.png,True,0.156463623046875,0.3158416748046875,0.34246826171875,553000,2,1.0,900,5000,1.0,0,0,3,7,900,0,1944,0,98117,47.6883,-122.395,1280,5000
8682250090.0,13.560619598657231,../data/images/8682250090.0.png,True,0.0638275146484375,0.642303466796875,0.67730712890625,775000,2,2.5,2680,7392,1.0,0,0,3,9,2680,0,2004,0,98053,47.717,-122.026,2315,7045
2591830130.0,12.807655372286902,../data/images/2591830130.0.png,True,0.140869140625,0.4359893798828125,0.55682373046875,365000,3,2.5,2200,7350,1.0,0,0,5,8,1570,630,1988,0,98058,47.4395,-122.161,2350,7557
8653900150.0,13.592368256649284,../data/images/8653900150.0.png,True,0.1972503662109375,0.40692138671875,0.5006866455078125,800000,3,2.5,3240,7857,2.0,0,0,3,10,3240,0,1994,0,98075,47.5857,-122.038,2970,7857
207500012.0,13.658857917508856,../data/images/207500012.0.png,True,0.196197509765625,0.2834320068359375,0.3402862548828125,855000,4,2.75,2600,5390,1.0,0,0,4,8,1300,1300,1960,0,98199,47.6382,-122.397,2550,5600
2487700065.0,12.899222326086994,../data/images/2487700065.0.png,True,0.1076812744140625,0.35986328125,0.46697998046875,400000,2,1.0,840,5510,1.0,0,0,3,7,840,0,1955,0,98136,47.5247,-122.391,1630,5510
9187200285.0,13.620712694725295,../data/images/9187200285.0.png,True,0.10260009765625,0.3637542724609375,0.38421630859375,823000,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,1908,0,98122,47.6024,-122.295,2020,5000
8138870530.0,12.946081942292848,../data/images/8138870530.0.png,True,0.2162017822265625,0.548492431640625,0.640838623046875,419190,2,2.5,1590,1426,2.0,0,0,3,8,1590,0,2014,0,98029,47.5441,-122.013,1590,1426
3574801780.0,13.091906231773164,../data/images/3574801780.0.png,True,0.099456787109375,0.36431884765625,0.4100799560546875,485000,4,3.0,2340,7048,1.0,0,0,4,8,1340,1000,1979,0,98034,47.7306,-122.227,1440,8088
3580900260.0,12.73670383776449,../data/images/3580900260.0.png,True,0.249420166015625,0.2254180908203125,0.3233642578125,340000,5,1.0,1120,9022,1.5,0,0,4,7,1120,0,1962,0,98034,47.7296,-122.24,1310,7500
1446403305.0,12.235636302128867,../data/images/1446403305.0.png,True,0.1591644287109375,0.2548980712890625,0.31005859375,206000,2,1.0,810,7158,1.0,0,0,5,6,810,0,1944,0,98168,47.4882,-122.325,1090,7158
2780400035.0,13.407543823396258,../data/images/2780400035.0.png,True,0.1977386474609375,0.634918212890625,0.628814697265625,665000,4,2.5,2800,5900,1.0,0,0,3,8,1660,1140,1963,0,98115,47.6809,-122.286,2580,5900
1861400060.0,13.51440681653079,../data/images/1861400060.0.png,True,0.131378173828125,0.3743896484375,0.41162109375,740000,4,1.75,2010,3600,1.5,0,0,3,7,2010,0,1902,0,98119,47.6337,-122.371,2010,3600
6143600580.0,12.122696471358964,../data/images/6143600580.0.png,True,0.301177978515625,0.2447052001953125,0.27593994140625,184000,3,1.75,1490,10125,1.0,0,0,4,7,1490,0,1962,0,98001,47.3075,-122.284,2488,4981
23500180.0,13.25339339419516,../data/images/23500180.0.png,True,0.4073028564453125,0.1865386962890625,0.0927276611328125,570000,3,2.25,2010,6000,1.0,0,0,3,8,1330,680,1975,0,98052,47.6912,-122.115,2080,8260
3329520410.0,12.409017571151187,../data/images/3329520410.0.png,True,0.154327392578125,0.489837646484375,0.5587158203125,245000,3,1.75,1920,9306,1.0,0,0,3,7,1000,920,1984,0,98001,47.3319,-122.267,1860,8458
4385700425.0,14.169683073439028,../data/images/4385700425.0.png,True,0.0582122802734375,0.526641845703125,0.559112548828125,1425000,2,2.5,2220,4000,2.0,0,0,3,9,2220,0,2000,0,98112,47.6364,-122.28,1870,4000
6632300212.0,12.812438422654544,../data/images/6632300212.0.png,True,0.097412109375,0.3170623779296875,0.34332275390625,366750,3,3.0,1571,2017,3.0,0,0,3,8,1571,0,2008,0,98125,47.7338,-122.309,1520,1497
4440900040.0,12.84779757601972,../data/images/4440900040.0.png,True,0.035797119140625,0.1013031005859375,0.1128692626953125,379950,4,1.75,1970,9389,1.0,0,0,5,7,1140,830,1960,0,98133,47.7771,-122.339,1820,8135
7853302370.0,13.120363378739665,../data/images/7853302370.0.png,True,0.1654205322265625,0.4962615966796875,0.5261993408203125,499000,4,2.5,2910,6479,2.0,0,0,3,7,2910,0,2006,0,98065,47.5402,-121.887,2320,5178
1823069213.0,12.429020177633872,../data/images/1823069213.0.png,True,0.16900634765625,0.4546356201171875,0.6071319580078125,249950,3,2.0,1550,15040,1.0,0,0,4,6,1550,0,1958,0,98059,47.4873,-122.099,1510,41416
3241600150.0,12.567240979056246,../data/images/3241600150.0.png,True,0.2393341064453125,0.1663818359375,0.2392730712890625,287000,3,1.0,1450,6000,1.0,0,0,4,7,1450,0,1953,0,98118,47.5238,-122.287,1170,6464
6666830250.0,13.476112645724855,../data/images/6666830250.0.png,True,0.1519775390625,0.272857666015625,0.25872802734375,712198,4,2.5,2450,4247,2.0,0,0,3,8,2450,0,2013,0,98052,47.7048,-122.113,2970,4685
4083300510.0,13.395593014723184,../data/images/4083300510.0.png,True,0.0906982421875,0.4672698974609375,0.478668212890625,657100,4,1.0,1390,4240,1.0,0,0,3,7,1050,340,1924,0,98103,47.6596,-122.338,1810,4240
124069032.0,13.304686600863562,../data/images/124069032.0.png,True,0.273651123046875,0.2263031005859375,0.209625244140625,600000,3,1.75,1670,39639,1.0,0,0,4,8,1670,0,1976,1992,98075,47.5929,-121.989,2330,30492
319500570.0,13.567050480716237,../data/images/319500570.0.png,True,0.1621856689453125,0.4677886962890625,0.529327392578125,780000,4,2.5,2730,10281,2.0,0,2,3,9,2730,0,1996,0,98074,47.6227,-122.029,2750,7220
3501600235.0,13.279368835614244,../data/images/3501600235.0.png,True,0.1656646728515625,0.30963134765625,0.4101104736328125,585000,2,1.0,1770,8640,1.5,0,0,3,6,1520,250,1949,0,98117,47.6926,-122.363,1060,4804
1898700310.0,12.301387370778713,../data/images/1898700310.0.png,True,0.2498931884765625,0.268096923828125,0.3662567138671875,220000,4,1.5,1240,9600,1.0,0,0,3,7,1240,0,1971,0,98023,47.3206,-122.397,1240,9592
1623300160.0,13.017005083966255,../data/images/1623300160.0.png,True,0.11138916015625,0.5099945068359375,0.5515594482421875,450000,2,2.0,1100,3000,1.5,0,0,3,7,1100,0,1912,2005,98117,47.6797,-122.362,1390,4000
579002870.0,13.325305854052749,../data/images/579002870.0.png,True,0.1709442138671875,0.3759307861328125,0.468536376953125,612500,4,2.0,2060,5000,1.0,0,0,3,7,1030,1030,1949,2013,98117,47.6992,-122.379,1280,5000
8731980040.0,12.59473402514672,../data/images/8731980040.0.png,True,0.225341796875,0.1725311279296875,0.1971893310546875,295000,3,2.25,1980,8000,1.0,0,0,4,9,1560,420,1974,0,98023,47.3149,-122.378,2360,8000
3754700160.0,12.891694078557842,../data/images/3754700160.0.png,True,0.1213836669921875,0.2096710205078125,0.3280792236328125,397000,4,2.0,1440,7680,1.0,0,0,3,7,1200,240,1971,0,98034,47.7245,-122.2,1460,9660
5469300270.0,12.36308066783498,../data/images/5469300270.0.png,True,0.3703460693359375,0.2086639404296875,0.1849517822265625,234000,3,1.75,1490,8366,1.0,0,0,4,7,1010,480,1975,0,98042,47.375,-122.14,1490,7469
751000060.0,12.77422616877261,../data/images/751000060.0.png,True,0.135772705078125,0.3771820068359375,0.413604736328125,353000,3,1.0,1350,7740,1.0,0,0,4,6,860,490,1947,0,98125,47.7098,-122.291,1130,7740
5701800030.0,13.31957518872681,../data/images/5701800030.0.png,True,0.3574981689453125,0.24981689453125,0.1683197021484375,609000,4,2.5,2150,37981,2.0,0,0,3,9,2150,0,1985,0,98052,47.7227,-122.098,2450,37981
9482700440.0,13.186278579318827,../data/images/9482700440.0.png,True,0.1197052001953125,0.38250732421875,0.4086761474609375,533000,5,2.75,1800,3780,1.5,0,0,3,7,1400,400,1926,0,98103,47.6831,-122.343,1400,3780
2771600350.0,13.26212705890841,../data/images/2771600350.0.png,True,0.216705322265625,0.4708404541015625,0.4790802001953125,575000,3,1.75,2130,6500,1.0,0,2,3,8,1170,960,1954,0,98199,47.6424,-122.386,2020,5000
6641020160.0,13.148033073468746,../data/images/6641020160.0.png,True,0.224700927734375,0.2350311279296875,0.2425537109375,513000,4,2.5,2000,5684,2.0,0,0,3,8,2000,0,1996,0,98028,47.7443,-122.22,2210,7066
2688100075.0,13.098072734013511,../data/images/2688100075.0.png,True,0.1425323486328125,0.5370330810546875,0.62060546875,488000,5,2.0,2020,5000,1.5,0,0,4,7,2020,0,1938,0,98117,47.6949,-122.37,1510,6600
4037500110.0,12.90917263218775,../data/images/4037500110.0.png,True,0.2037506103515625,0.16912841796875,0.107513427734375,404000,4,1.75,1840,10720,1.0,0,0,3,7,960,880,1958,0,98008,47.6074,-122.125,1840,9044
7625704005.0,13.237477967034438,../data/images/7625704005.0.png,True,0.1011505126953125,0.228271484375,0.3673858642578125,561000,3,2.0,2000,7000,2.0,0,0,3,7,2000,0,1916,1986,98136,47.5452,-122.393,1840,7000
6751300065.0,13.157732451741689,../data/images/6751300065.0.png,True,0.1474761962890625,0.4787445068359375,0.477569580078125,518000,3,1.5,1430,8000,1.0,0,0,4,7,1430,0,1956,0,98007,47.5874,-122.136,1450,8000
1995200200.0,12.65699220175776,../data/images/1995200200.0.png,True,0.1239776611328125,0.3755035400390625,0.388275146484375,415000,3,1.0,1510,6083,1.0,0,0,4,6,860,650,1940,0,98115,47.6966,-122.324,1510,5712
7696630080.0,12.190964083849376,../data/images/7696630080.0.png,True,0.152252197265625,0.465576171875,0.6063385009765625,197000,3,1.75,1690,7735,1.0,0,0,4,7,1060,630,1976,0,98001,47.3324,-122.28,1580,7503
1626069253.0,13.088808662125674,../data/images/1626069253.0.png,True,0.246551513671875,0.2136688232421875,0.25018310546875,483500,4,2.5,2740,45732,2.0,0,0,3,8,2740,0,1995,0,98077,47.74,-122.048,2080,43560
109200730.0,12.292254928916668,../data/images/109200730.0.png,True,0.1999969482421875,0.332183837890625,0.4404296875,218000,3,1.75,1850,7684,1.0,0,0,3,8,1320,530,1979,0,98023,47.2975,-122.37,1940,7630
9553200052.0,12.75130259456002,../data/images/9553200052.0.png,True,0.17474365234375,0.51397705078125,0.5460968017578125,345000,3,1.0,1110,6250,1.0,0,0,3,7,1110,0,1956,0,98115,47.6977,-122.292,2010,6944
721069087.0,13.386266457287835,../data/images/721069087.0.png,True,0.459136962890625,0.264404296875,0.1089019775390625,651000,3,2.5,3240,108366,2.0,0,0,4,10,3240,0,1991,0,98042,47.327,-122.094,2090,108366
1423069095.0,13.304686600863562,../data/images/1423069095.0.png,True,0.2930908203125,0.3043975830078125,0.2870025634765625,600000,3,2.5,2460,108900,1.0,0,0,4,9,1860,600,1977,0,98027,47.4824,-122.0,2870,102366
203101210.0,12.846612510860464,../data/images/203101210.0.png,True,0.3257598876953125,0.146453857421875,0.0838775634765625,379500,2,1.0,1640,17335,1.0,0,0,3,7,840,800,1978,0,98053,47.6397,-121.953,2440,17850
2432000110.0,13.538439983884851,../data/images/2432000110.0.png,True,0.1274261474609375,0.14849853515625,0.1593017578125,758000,4,2.75,2410,9549,1.0,0,0,4,7,1780,630,1956,0,98033,47.6503,-122.197,2090,9549
4338800170.0,12.413090879946887,../data/images/4338800170.0.png,True,0.1729278564453125,0.3995361328125,0.5049285888671875,246000,3,1.0,1400,7410,1.0,0,0,3,6,1400,0,1944,0,98166,47.4798,-122.343,1070,7410
6744700427.0,13.199326270390594,../data/images/6744700427.0.png,True,0.162200927734375,0.3033294677734375,0.3260650634765625,540000,7,5.75,3700,7647,2.0,0,1,3,8,3700,0,1948,1984,98155,47.7393,-122.289,2510,7479
7882900120.0,12.345838935721968,../data/images/7882900120.0.png,True,0.231903076171875,0.260894775390625,0.4272613525390625,230000,3,2.5,1920,9180,2.0,0,0,3,8,1920,0,1988,0,98055,47.4818,-122.231,1930,7252
2548100180.0,12.721888795877376,../data/images/2548100180.0.png,True,0.2191925048828125,0.173187255859375,0.18621826171875,335000,3,2.0,1570,7200,1.0,0,0,4,7,1570,0,1952,0,98155,47.7501,-122.314,1410,7434
7229900975.0,12.660172350152196,../data/images/7229900975.0.png,True,0.2800140380859375,0.2122955322265625,0.1697998046875,314950,3,1.0,1040,16986,1.0,0,0,4,7,1040,0,1968,0,98059,47.4812,-122.097,1660,16986
1425059178.0,13.03898394237596,../data/images/1425059178.0.png,True,0.132049560546875,0.1456298828125,0.1310272216796875,460000,3,2.0,1760,9055,2.0,0,0,4,7,1760,0,1985,0,98052,47.6534,-122.128,2010,9383
2726079061.0,13.190023895035274,../data/images/2726079061.0.png,True,0.312713623046875,0.32427978515625,0.3091278076171875,535000,3,1.75,2720,149410,1.5,0,0,3,9,2720,0,1988,0,98014,47.7092,-121.892,2560,149410
5113400535.0,13.527829818844936,../data/images/5113400535.0.png,True,0.1227874755859375,0.528656005859375,0.56024169921875,750000,3,2.75,2520,5401,1.0,0,0,4,7,1360,1160,1946,0,98119,47.6452,-122.373,1800,5036
6708200040.0,12.92269462427472,../data/images/6708200040.0.png,True,0.2246856689453125,0.33856201171875,0.3556671142578125,409500,4,2.75,2140,13000,1.0,0,0,3,7,1320,820,1968,0,98028,47.7683,-122.252,2360,11000
1419700270.0,13.12834743715147,../data/images/1419700270.0.png,True,0.22222900390625,0.3819122314453125,0.438323974609375,503000,3,2.75,1540,6760,1.0,0,0,5,7,1210,330,1980,0,98034,47.7163,-122.212,1540,7416
8648220150.0,12.330504638906516,../data/images/8648220150.0.png,True,0.1983642578125,0.1819610595703125,0.2056732177734375,226500,3,1.75,1640,10762,1.0,0,0,3,7,1130,510,1988,0,98042,47.3586,-122.074,1680,10259
8137500730.0,13.122365377402328,../data/images/8137500730.0.png,True,0.1363983154296875,0.537139892578125,0.629791259765625,500000,3,2.5,1940,37565,1.0,0,0,4,8,1940,0,1987,0,98027,47.4801,-122.063,2560,37565
6093900280.0,12.254629449139816,../data/images/6093900280.0.png,True,0.2674560546875,0.385009765625,0.476531982421875,209950,3,1.5,1380,11130,1.0,0,0,3,7,1380,0,1960,0,98003,47.3146,-122.323,1380,9200
8562770250.0,13.190023895035274,../data/images/8562770250.0.png,True,0.007171630859375,0.136383056640625,0.1494598388671875,535000,3,2.5,2280,2289,2.0,0,0,3,8,1880,400,2006,0,98027,47.5375,-122.073,2280,2425
8856000545.0,11.51293546492023,../data/images/8856000545.0.png,True,0.248779296875,0.353851318359375,0.3725738525390625,100000,2,1.0,910,22000,1.0,0,0,3,6,910,0,1956,0,98001,47.2777,-122.252,1326,9891
2785000290.0,13.42246945133505,../data/images/2785000290.0.png,True,0.182525634765625,0.2741241455078125,0.2481842041015625,675000,3,1.75,1680,10500,1.0,0,0,4,8,1680,0,1959,0,98005,47.6098,-122.169,2250,10400
7503000020.0,12.936036208848488,../data/images/7503000020.0.png,True,0.183502197265625,0.47943115234375,0.5163116455078125,415000,4,3.0,1830,9548,2.0,0,0,3,7,1830,0,1991,0,98028,47.7379,-122.224,1740,9750
1900600040.0,12.487488878546143,../data/images/1900600040.0.png,True,0.1781463623046875,0.3334503173828125,0.4307098388671875,265000,5,1.5,1500,7112,1.0,0,0,5,6,760,740,1920,0,98166,47.4692,-122.35,1200,7112
8818900250.0,13.180634172318978,../data/images/8818900250.0.png,True,0.1380157470703125,0.4164886474609375,0.4298858642578125,530000,3,1.0,1340,4284,1.0,0,0,3,7,1080,260,1910,0,98105,47.6633,-122.324,1960,4080
6813600415.0,13.15192412139156,../data/images/6813600415.0.png,True,0.1620635986328125,0.3787841796875,0.4449615478515625,515000,2,1.0,1060,4960,1.0,0,0,3,7,1060,0,1926,0,98103,47.6896,-122.331,1420,4960
7212650650.0,12.59473402514672,../data/images/7212650650.0.png,True,0.121856689453125,0.49078369140625,0.530548095703125,295000,3,2.5,1920,7229,2.0,0,0,3,8,1920,0,1993,0,98003,47.2659,-122.31,2310,8009
1732800184.0,13.120363378739665,../data/images/1732800184.0.png,True,0.111175537109375,0.433197021484375,0.5328826904296875,499000,2,1.5,1110,957,2.0,0,0,3,8,930,180,2005,0,98119,47.6319,-122.362,1680,1104
2621700010.0,13.251637470576169,../data/images/2621700010.0.png,True,0.307586669921875,0.1335601806640625,0.16851806640625,569000,4,2.25,2250,41688,2.0,0,0,3,8,2250,0,1980,0,98053,47.6695,-122.05,2350,37920
8691391090.0,13.4821349219228,../data/images/8691391090.0.png,True,0.1522064208984375,0.40509033203125,0.4778594970703125,716500,4,2.5,3290,6465,2.0,0,0,3,9,3290,0,2002,0,98075,47.5981,-121.976,3100,5929
2155000160.0,13.195615697878251,../data/images/2155000160.0.png,True,0.26739501953125,0.2217254638671875,0.2090606689453125,538000,4,1.75,1840,9600,1.0,0,0,3,7,1220,620,1967,0,98052,47.6579,-122.125,1770,9720
6431000206.0,13.635188201437066,../data/images/6431000206.0.png,True,0.1427154541015625,0.352081298828125,0.4132843017578125,835000,4,2.0,1910,6960,1.5,0,0,5,8,1910,0,1941,0,98103,47.6893,-122.348,1360,3300
518500210.0,13.674524016073113,../data/images/518500210.0.png,True,0.081207275390625,0.443328857421875,0.496826171875,868500,3,2.5,2920,3942,3.0,0,0,3,10,2920,0,2008,0,98056,47.531,-122.204,2920,3942
1931300977.0,13.122365377402328,../data/images/1931300977.0.png,True,0.0832672119140625,0.59326171875,0.5976715087890625,500000,3,1.75,1410,1197,3.0,0,0,3,8,1410,0,2012,0,98103,47.6558,-122.348,1350,2512
3624079067.0,12.706850963741102,../data/images/3624079067.0.png,True,0.3509368896484375,0.1870574951171875,0.1930084228515625,330000,2,2.0,1550,435600,1.5,0,0,2,7,1550,0,1972,0,98065,47.5145,-121.853,1600,217800
8857600820.0,12.468440756144114,../data/images/8857600820.0.png,True,0.203521728515625,0.22686767578125,0.30108642578125,260000,4,1.5,2130,8800,1.0,0,0,3,7,1100,1030,1962,0,98032,47.383,-122.288,1480,8120
1022059082.0,12.63460628389302,../data/images/1022059082.0.png,True,0.3279571533203125,0.4551239013671875,0.4822540283203125,307000,3,1.75,1890,13860,1.0,0,0,5,7,1890,0,1966,0,98042,47.4156,-122.149,1500,14536
5468730110.0,12.506180941677355,../data/images/5468730110.0.png,True,0.2261962890625,0.4087371826171875,0.465118408203125,270000,4,2.5,1810,6509,2.0,0,0,3,7,1810,0,1994,0,98042,47.3531,-122.143,1760,7417
2887700995.0,13.180634172318978,../data/images/2887700995.0.png,True,0.061309814453125,0.3870697021484375,0.444091796875,530000,4,2.75,2280,2850,1.5,0,0,4,7,1540,740,1930,0,98115,47.6871,-122.307,1680,3800
9544700500.0,13.573440270649083,../data/images/9544700500.0.png,True,0.164337158203125,0.283233642578125,0.2798919677734375,785000,3,2.75,3010,1842,2.0,0,0,3,9,3010,0,2011,0,98075,47.5836,-121.994,2950,4200
6381500035.0,12.861001210669146,../data/images/6381500035.0.png,True,0.1592559814453125,0.14642333984375,0.159515380859375,385000,3,1.75,1890,9920,1.0,0,0,3,7,1230,660,1944,0,98125,47.7327,-122.306,1380,9086
2423069120.0,12.59473402514672,../data/images/2423069120.0.png,True,0.3379364013671875,0.1801300048828125,0.1800384521484375,295000,2,1.75,2200,89298,1.0,0,0,3,7,1100,1100,1973,0,98027,47.4633,-121.976,2590,89298
6127011000.0,13.19468589944734,../data/images/6127011000.0.png,True,0.1308135986328125,0.562408447265625,0.62548828125,537500,4,2.5,2550,4630,2.0,0,0,3,7,2550,0,2005,0,98075,47.5928,-122.004,2550,5151
4440400125.0,12.337105293891872,../data/images/4440400125.0.png,True,0.14385986328125,0.30206298828125,0.43634033203125,228000,4,1.75,2000,6120,1.0,0,0,3,7,1100,900,1965,0,98178,47.5035,-122.258,1880,6120
1200019.0,13.380875616956182,../data/images/1200019.0.png,True,0.258880615234375,0.14990234375,0.2153167724609375,647500,4,1.75,2060,26036,1.0,0,0,4,8,1160,900,1947,0,98166,47.4444,-122.351,2590,21891
2264500890.0,13.475834594887507,../data/images/2264500890.0.png,True,0.1666412353515625,0.3952178955078125,0.4044189453125,712000,3,1.0,1250,4620,1.5,0,0,4,7,1150,100,1900,0,98103,47.651,-122.341,1900,4400
9264950420.0,12.758522821680684,../data/images/9264950420.0.png,True,0.2388763427734375,0.3057403564453125,0.36480712890625,347500,4,2.5,2460,7350,2.0,0,0,3,9,2460,0,1989,0,98023,47.3061,-122.349,2390,8568
2652500070.0,13.362955414648066,../data/images/2652500070.0.png,True,0.20037841796875,0.4029083251953125,0.397705078125,636000,2,1.75,1230,3600,1.5,0,0,5,7,1230,0,1925,0,98119,47.6423,-122.361,1210,4500
7205850030.0,13.246351123968212,../data/images/7205850030.0.png,True,0.1707305908203125,0.2844085693359375,0.3059539794921875,566000,3,2.25,1660,10140,1.0,0,0,4,8,1370,290,1980,0,98052,47.6889,-122.128,2100,10125
4310701577.0,12.853178505386332,../data/images/4310701577.0.png,True,0.1279144287109375,0.3202667236328125,0.358123779296875,382000,3,3.25,1410,1253,3.0,0,0,3,8,1410,0,2005,0,98103,47.6981,-122.34,1410,1253
7745000090.0,13.244582780038517,../data/images/7745000090.0.png,True,0.1494903564453125,0.179168701171875,0.1837615966796875,565000,4,2.25,2470,7447,2.0,0,0,3,8,2470,0,1984,0,98155,47.7514,-122.286,2270,7400
1778350070.0,13.54763241999736,../data/images/1778350070.0.png,True,0.1287384033203125,0.2582550048828125,0.2436981201171875,765000,4,2.75,2790,10819,2.0,0,0,3,10,2790,0,1996,0,98027,47.5515,-122.08,3080,12603
5341600030.0,12.449022745701502,../data/images/5341600030.0.png,True,0.2407073974609375,0.22967529296875,0.38568115234375,255000,2,1.0,960,28717,1.0,0,0,4,6,960,0,1984,0,98070,47.3356,-122.502,1860,28717
421079142.0,12.936036208848488,../data/images/421079142.0.png,True,0.389617919921875,0.5026397705078125,0.4815216064453125,415000,4,2.25,3060,48787,2.0,0,0,3,8,3060,0,1992,0,98010,47.3397,-121.918,2090,48787
5089700750.0,12.676079399771028,../data/images/5089700750.0.png,True,0.2055816650390625,0.2138824462890625,0.2842864990234375,320000,4,2.25,2310,7490,2.0,0,0,3,8,2310,0,1980,0,98055,47.4379,-122.192,2310,8480
2617300200.0,13.184400648021263,../data/images/2617300200.0.png,True,0.3674163818359375,0.21978759765625,0.232086181640625,532000,5,3.0,3480,57499,1.0,0,0,4,8,2340,1140,1976,0,98027,47.4574,-122.024,2020,40946
1186000125.0,13.51777949645943,../data/images/1186000125.0.png,True,0.1781158447265625,0.3170318603515625,0.3547821044921875,742500,4,2.75,3100,3773,2.0,0,0,3,8,2000,1100,1919,1996,98122,47.6158,-122.291,2130,3777
3223059141.0,12.793862088206213,../data/images/3223059141.0.png,True,0.316192626953125,0.08782958984375,0.249603271484375,360000,2,1.0,1420,81892,1.0,0,0,3,7,1180,240,1956,0,98055,47.4342,-122.195,1490,1863
7922800160.0,13.145212340297045,../data/images/7922800160.0.png,True,0.0847930908203125,0.383941650390625,0.370849609375,511555,3,2.0,1400,7293,1.0,0,0,4,7,1400,0,1963,0,98008,47.586,-122.12,1600,7960
